cpf,nome,data_nascimento,score_credito,limite_credito
10496582305,Mariana Andrade,01/02/1947,654,15000.00
39041687548,Lara Abreu,05/01/1993,114,1000.00
26591780386,Aylla Fogaça,08/08/1998,25,1000.00
94053871620,Laís Pires,05/03/1984,759,30000.00
53109726840,Mateus da Mota,10/10/1973,281,1000.00
52981604333,Isabelly Castro,02/05/1974,250,1000.00
48352019732,Juliana Azevedo,02/07/1958,228,1000.00
95387640139,Josué Souza,29/07/1980,142,1000.00
46821530726,Eduardo Pires,16/04/1955,754,30000.00
61934725099,Bruna Rodrigues,13/12/2000,104,1000.00
45123780904,Emanuelly Montenegro,15/09/2002,692,15000.00
48312605924,Allana Camargo,29/09/2003,758,30000.00
43019752680,Vitor Vargas,17/02/1953,913,50000.00
78294530638,Sra. Maria Liz Rios,25/02/1986,558,15000.00
78901564300,Heloísa Pastor,31/01/1959,89,1000.00
10386254753,Ryan Cunha,08/03/1979,604,15000.00
97368510286,Marina Fogaça,23/11/1971,432,5000.00
70183265408,Vitor Gabriel Machado,15/01/1954,32,1000.00
24710358923,Isaac Cavalcante,24/10/1970,30,1000.00
73601895277,Laura Lima,04/02/1989,95,1000.00
87219605340,Sra. Ana Laura Aragão,05/01/1982,223,1000.00
89204615702,Isabela Guerra,05/10/1952,238,1000.00
93047821550,Luara da Costa,11/12/1961,517,15000.00
24790536874,Vitor Gabriel Cunha,29/01/1977,616,15000.00
25179863473,Vitória Albuquerque,15/04/1987,27,1000.00
84172095305,João Miguel Pereira,24/06/1958,574,15000.00
53478209188,Augusto Abreu,23/03/1966,203,1000.00
24953867092,Breno Sales,27/02/2002,733,30000.00
80546139205,Luiz Otávio Vieira,17/06/2006,665,15000.00
05381927630,Daniela da Costa,06/09/1999,718,30000.00
26015934743,Emanuel Viana,23/05/1989,558,15000.00
60719325803,Apollo Ribeiro,18/05/1957,429,5000.00
54162938709,Danilo da Luz,17/06/1956,225,1000.00
40193267896,Esther da Cunha,03/01/1948,459,5000.00
60327895195,Camila Silveira,29/11/2001,603,15000.00
84623710580,Maria Helena Rocha,05/05/1992,284,1000.00
24680975130,Luna Martins,15/01/1973,828,30000.00
38765104226,Isaac Rocha,07/10/1964,890,50000.00
32071965868,Evelyn Silva,29/01/1989,6,1000.00
76315048900,Valentim Martins,16/05/1948,777,30000.00
31789426537,Melissa Castro,23/01/1992,825,30000.00
79461238096,Pedro Lucas Barbosa,01/03/1990,163,1000.00
34528017644,Daniela Santos,09/09/1958,714,30000.00
69543708193,Alícia Teixeira,24/06/1981,432,5000.00
70523914814,Pedro Henrique Mendonça,14/01/1947,348,5000.00
56283104924,Paulo Carvalho,28/10/1999,284,1000.00
20439167507,Lara Sá,19/02/2005,159,1000.00
64130857975,Ana Lívia Vasconcelos,09/07/2005,220,1000.00
09318465289,Bruna Nunes,01/12/2004,980,50000.00
74518903684,Apollo das Neves,26/06/1981,781,30000.00
